step,episode,reward,avg_reward_100,epsilon,elapsed_s
819,1,-21.00,-21.00,0.9985,0.4
1723,2,-21.00,-21.00,0.9969,0.8
2860,3,-18.00,-20.00,0.9949,1.2
3810,4,-20.00,-20.00,0.9931,1.5
4914,5,-18.00,-19.60,0.9912,2.0
5775,6,-20.00,-19.67,0.9896,2.3
6656,7,-21.00,-19.86,0.9880,2.6
7754,8,-20.00,-19.88,0.9860,3.0
8671,9,-20.00,-19.89,0.9844,3.4
9449,10,-21.00,-20.00,0.9830,3.7
10297,11,-21.00,-20.09,0.9815,4.9
11177,12,-21.00,-20.17,0.9799,7.0
11998,13,-21.00,-20.23,0.9784,9.0
12854,14,-20.00,-20.21,0.9769,11.1
13727,15,-21.00,-20.27,0.9753,13.2
14628,16,-20.00,-20.25,0.9737,15.4
15480,17,-21.00,-20.29,0.9721,17.4
16576,18,-20.00,-20.28,0.9702,20.1
17652,19,-20.00,-20.26,0.9682,22.7
18472,20,-21.00,-20.30,0.9668,24.7
19407,21,-20.00,-20.29,0.9651,27.0
20450,22,-20.00,-20.27,0.9632,29.5
21387,23,-21.00,-20.30,0.9615,31.8
22346,24,-21.00,-20.33,0.9598,34.1
23109,25,-21.00,-20.36,0.9584,36.1
23947,26,-20.00,-20.35,0.9569,38.1
24709,27,-21.00,-20.37,0.9555,40.0
25563,28,-21.00,-20.39,0.9540,42.1
26344,29,-21.00,-20.41,0.9526,43.9
27316,30,-21.00,-20.43,0.9508,46.3
28335,31,-20.00,-20.42,0.9490,48.9
29314,32,-20.00,-20.41,0.9472,51.3
30333,33,-21.00,-20.42,0.9454,53.8
31273,34,-19.00,-20.38,0.9437,56.2
32255,35,-21.00,-20.40,0.9419,58.7
33071,36,-21.00,-20.42,0.9405,60.7
33955,37,-21.00,-20.43,0.9389,62.9
34908,38,-20.00,-20.42,0.9372,65.2
35682,39,-21.00,-20.44,0.9358,67.1
36580,40,-20.00,-20.43,0.9342,69.3
37403,41,-21.00,-20.44,0.9327,71.3
38379,42,-21.00,-20.45,0.9309,73.7
39140,43,-21.00,-20.47,0.9295,75.5
40112,44,-20.00,-20.45,0.9278,77.9
41024,45,-20.00,-20.44,0.9262,80.1
42140,46,-19.00,-20.41,0.9241,82.9
43137,47,-19.00,-20.38,0.9224,85.4
44104,48,-21.00,-20.40,0.9206,87.8
44985,49,-21.00,-20.41,0.9190,89.9
45896,50,-21.00,-20.42,0.9174,92.1
46973,51,-20.00,-20.41,0.9154,94.9
47989,52,-20.00,-20.40,0.9136,97.3
48993,53,-20.00,-20.40,0.9118,99.8
50017,54,-20.00,-20.39,0.9100,102.3
50887,55,-21.00,-20.40,0.9084,104.4
51929,56,-20.00,-20.39,0.9065,107.0
52688,57,-21.00,-20.40,0.9052,108.9
53733,58,-20.00,-20.40,0.9033,111.4
54708,59,-20.00,-20.39,0.9015,113.8
55572,60,-21.00,-20.40,0.9000,116.3
56725,61,-20.00,-20.39,0.8979,119.4
57503,62,-21.00,-20.40,0.8965,121.3
58358,63,-21.00,-20.41,0.8950,123.5
59120,64,-21.00,-20.42,0.8936,125.4
60045,65,-21.00,-20.43,0.8919,127.7
60820,66,-21.00,-20.44,0.8905,129.7
61655,67,-21.00,-20.45,0.8890,131.7
62621,68,-21.00,-20.46,0.8873,134.1
63760,69,-21.00,-20.46,0.8852,136.9
64705,70,-20.00,-20.46,0.8835,139.3
65567,71,-20.00,-20.45,0.8820,141.4
66539,72,-20.00,-20.44,0.8802,143.8
67359,73,-21.00,-20.45,0.8788,145.9
68282,74,-20.00,-20.45,0.8771,148.2
69195,75,-20.00,-20.44,0.8754,150.4
70091,76,-20.00,-20.43,0.8738,152.7
71111,77,-20.00,-20.43,0.8720,155.2
71870,78,-21.00,-20.44,0.8706,157.2
72936,79,-20.00,-20.43,0.8687,159.8
73877,80,-21.00,-20.44,0.8670,162.1
74821,81,-21.00,-20.44,0.8653,164.5
75655,82,-20.00,-20.44,0.8638,166.6
76519,83,-21.00,-20.45,0.8623,168.7
77386,84,-20.00,-20.44,0.8607,170.9
78270,85,-21.00,-20.45,0.8591,173.1
79188,86,-19.00,-20.43,0.8575,175.8
80059,87,-20.00,-20.43,0.8559,178.1
80923,88,-20.00,-20.42,0.8543,180.3
81685,89,-21.00,-20.43,0.8530,182.3
82534,90,-21.00,-20.43,0.8514,184.5
83294,91,-21.00,-20.44,0.8501,186.5
84117,92,-21.00,-20.45,0.8486,188.6
84961,93,-21.00,-20.45,0.8471,190.8
85881,94,-20.00,-20.45,0.8454,193.1
86816,95,-21.00,-20.45,0.8437,195.4
87697,96,-21.00,-20.46,0.8421,197.6
88485,97,-21.00,-20.46,0.8407,199.6
89420,98,-21.00,-20.47,0.8390,202.0
90283,99,-21.00,-20.47,0.8375,204.2
91204,100,-20.00,-20.47,0.8358,206.5
92250,101,-21.00,-20.47,0.8339,209.3
93024,102,-21.00,-20.47,0.8326,211.3
93987,103,-20.00,-20.49,0.8308,213.8
95190,104,-19.00,-20.48,0.8287,216.9
96207,105,-19.00,-20.49,0.8268,219.6
97164,106,-19.00,-20.48,0.8251,222.1
97995,107,-20.00,-20.47,0.8236,224.4
98847,108,-20.00,-20.47,0.8221,226.7
99652,109,-21.00,-20.48,0.8206,228.8
100442,110,-21.00,-20.48,0.8192,230.9
101327,111,-21.00,-20.48,0.8176,233.3
102221,112,-20.00,-20.47,0.8160,236.0
103008,113,-21.00,-20.47,0.8146,238.2
103971,114,-19.00,-20.46,0.8129,240.7
104880,115,-21.00,-20.46,0.8112,243.1
106000,116,-20.00,-20.46,0.8092,246.1
106908,117,-20.00,-20.45,0.8076,248.5
107775,118,-20.00,-20.45,0.8060,250.8
108645,119,-21.00,-20.46,0.8044,253.0
109685,120,-20.00,-20.45,0.8026,255.7
110596,121,-21.00,-20.46,0.8009,258.2
111611,122,-20.00,-20.46,0.7991,260.9
112450,123,-20.00,-20.45,0.7976,263.1
113295,124,-21.00,-20.45,0.7961,265.4
114056,125,-21.00,-20.45,0.7947,267.3
114951,126,-20.00,-20.45,0.7931,269.7
115806,127,-20.00,-20.44,0.7915,271.9
116856,128,-19.00,-20.42,0.7897,274.8
117829,129,-20.00,-20.41,0.7879,277.4
118790,130,-21.00,-20.41,0.7862,279.9
119672,131,-21.00,-20.42,0.7846,282.4
120571,132,-20.00,-20.42,0.7830,284.7
121394,133,-21.00,-20.42,0.7815,286.9
122217,134,-21.00,-20.44,0.7800,289.0
123173,135,-21.00,-20.44,0.7783,291.5
124089,136,-20.00,-20.43,0.7766,293.9
124964,137,-21.00,-20.43,0.7751,296.8
125815,138,-21.00,-20.44,0.7735,299.2
126757,139,-20.00,-20.43,0.7718,301.8
127670,140,-21.00,-20.44,0.7702,304.2
128547,141,-21.00,-20.44,0.7686,306.6
129444,142,-21.00,-20.44,0.7670,309.0
130261,143,-21.00,-20.44,0.7655,311.1
131177,144,-20.00,-20.44,0.7639,313.5
132084,145,-21.00,-20.45,0.7622,315.9
132905,146,-21.00,-20.47,0.7608,318.2
133883,147,-20.00,-20.48,0.7590,320.8
134694,148,-21.00,-20.48,0.7576,322.9
135651,149,-20.00,-20.47,0.7558,325.5
136630,150,-21.00,-20.47,0.7541,328.2
137582,151,-21.00,-20.48,0.7524,330.8
138672,152,-20.00,-20.48,0.7504,333.7
139627,153,-20.00,-20.48,0.7487,336.5
140619,154,-20.00,-20.48,0.7469,339.2
141563,155,-20.00,-20.47,0.7452,341.7
142654,156,-21.00,-20.48,0.7432,344.5
143444,157,-21.00,-20.48,0.7418,346.8
144421,158,-20.00,-20.48,0.7400,349.4
145256,159,-20.00,-20.48,0.7385,351.6
146288,160,-21.00,-20.48,0.7367,354.4
147047,161,-21.00,-20.49,0.7353,356.7
147864,162,-21.00,-20.49,0.7338,359.0
148782,163,-20.00,-20.48,0.7322,361.5
149697,164,-20.00,-20.47,0.7305,364.0
150516,165,-21.00,-20.47,0.7291,366.1
151354,166,-20.00,-20.46,0.7276,368.3
152289,167,-21.00,-20.46,0.7259,370.8
153326,168,-20.00,-20.45,0.7240,373.5
154330,169,-20.00,-20.44,0.7222,376.2
155400,170,-19.00,-20.43,0.7203,379.0
156157,171,-21.00,-20.44,0.7189,381.1
157035,172,-21.00,-20.45,0.7173,383.4
157881,173,-21.00,-20.45,0.7158,385.8
158792,174,-20.00,-20.45,0.7142,388.3
159677,175,-21.00,-20.46,0.7126,390.7
160497,176,-21.00,-20.47,0.7111,392.9
161427,177,-21.00,-20.48,0.7094,395.4
162309,178,-21.00,-20.48,0.7078,397.7
163195,179,-21.00,-20.49,0.7062,400.0
164154,180,-20.00,-20.48,0.7045,402.6
164995,181,-20.00,-20.47,0.7030,404.9
166018,182,-19.00,-20.46,0.7012,407.6
167019,183,-21.00,-20.46,0.6994,410.2
167835,184,-21.00,-20.47,0.6979,412.4
168612,185,-21.00,-20.47,0.6965,414.4
169646,186,-19.00,-20.47,0.6946,417.5
170634,187,-19.00,-20.46,0.6929,420.2
171651,188,-20.00,-20.46,0.6910,422.9
172700,189,-21.00,-20.46,0.6891,425.9
173547,190,-21.00,-20.46,0.6876,428.1
174517,191,-20.00,-20.45,0.6859,430.8
175338,192,-21.00,-20.45,0.6844,433.0
176265,193,-20.00,-20.44,0.6827,435.5
177086,194,-21.00,-20.45,0.6812,437.7
178026,195,-21.00,-20.45,0.6796,440.2
178857,196,-20.00,-20.44,0.6781,442.4
179675,197,-21.00,-20.44,0.6766,444.7
180510,198,-20.00,-20.43,0.6751,446.9
181289,199,-21.00,-20.43,0.6737,449.0
182230,200,-21.00,-20.44,0.6720,451.6
183107,201,-21.00,-20.44,0.6704,454.1
184104,202,-20.00,-20.43,0.6686,456.7
184951,203,-21.00,-20.44,0.6671,459.0
186090,204,-20.00,-20.45,0.6650,462.1
186982,205,-20.00,-20.46,0.6634,464.5
187946,206,-20.00,-20.47,0.6617,467.0
188824,207,-21.00,-20.48,0.6601,469.4
189926,208,-20.00,-20.48,0.6581,472.3
190967,209,-20.00,-20.47,0.6563,475.2
191904,210,-19.00,-20.45,0.6546,477.7
193015,211,-19.00,-20.43,0.6526,481.0
193897,212,-21.00,-20.44,0.6510,483.4
194794,213,-21.00,-20.44,0.6494,485.8
195723,214,-20.00,-20.45,0.6477,488.2
196648,215,-20.00,-20.44,0.6460,490.7
197428,216,-21.00,-20.45,0.6446,492.8
198382,217,-19.00,-20.44,0.6429,495.3
199172,218,-21.00,-20.45,0.6415,497.4
200318,219,-19.00,-20.43,0.6394,500.5
201138,220,-21.00,-20.44,0.6380,502.7
201895,221,-21.00,-20.44,0.6366,504.8
202802,222,-21.00,-20.45,0.6350,507.2
203673,223,-21.00,-20.46,0.6334,509.6
204449,224,-21.00,-20.46,0.6320,511.7
205258,225,-21.00,-20.46,0.6305,513.9
206116,226,-20.00,-20.46,0.6290,516.2
207045,227,-21.00,-20.47,0.6273,518.7
207929,228,-20.00,-20.48,0.6257,521.1
208869,229,-20.00,-20.48,0.6240,523.7
209935,230,-19.00,-20.46,0.6221,526.7
210985,231,-20.00,-20.45,0.6202,529.6
211822,232,-21.00,-20.46,0.6187,531.9
212717,233,-20.00,-20.45,0.6171,534.3
213493,234,-21.00,-20.45,0.6157,536.6
214339,235,-21.00,-20.45,0.6142,538.9
215179,236,-20.00,-20.45,0.6127,541.2
216209,237,-19.00,-20.43,0.6108,544.0
216987,238,-21.00,-20.43,0.6094,546.1
217867,239,-21.00,-20.44,0.6078,548.5
218809,240,-20.00,-20.43,0.6061,551.1
219798,241,-20.00,-20.42,0.6044,553.7
220633,242,-21.00,-20.42,0.6029,555.9
221505,243,-21.00,-20.42,0.6013,558.3
222554,244,-21.00,-20.43,0.5994,561.1
223329,245,-21.00,-20.43,0.5980,563.2
224087,246,-21.00,-20.43,0.5966,565.2
224938,247,-21.00,-20.44,0.5951,567.5
225861,248,-20.00,-20.43,0.5935,569.9
226788,249,-21.00,-20.44,0.5918,572.4
227672,250,-20.00,-20.43,0.5902,574.8
228583,251,-20.00,-20.42,0.5886,577.6
229392,252,-21.00,-20.43,0.5871,579.8
230484,253,-20.00,-20.43,0.5851,582.8
231460,254,-20.00,-20.43,0.5834,585.4
232322,255,-20.00,-20.43,0.5818,587.8
233275,256,-20.00,-20.42,0.5801,590.4
234200,257,-20.00,-20.41,0.5784,592.9
235018,258,-21.00,-20.42,0.5770,595.6
236264,259,-20.00,-20.42,0.5747,599.2
237098,260,-20.00,-20.41,0.5732,601.6
238072,261,-21.00,-20.41,0.5715,604.3
239019,262,-19.00,-20.39,0.5698,607.0
239915,263,-20.00,-20.39,0.5682,609.4
240737,264,-21.00,-20.40,0.5667,611.6
241680,265,-21.00,-20.40,0.5650,614.1
242694,266,-21.00,-20.41,0.5632,616.9
243457,267,-21.00,-20.41,0.5618,619.0
244261,268,-21.00,-20.42,0.5603,621.2
245094,269,-20.00,-20.42,0.5588,623.6
245988,270,-21.00,-20.44,0.5572,626.1
246820,271,-20.00,-20.43,0.5557,628.4
247773,272,-21.00,-20.43,0.5540,631.1
248684,273,-21.00,-20.43,0.5524,633.7
249732,274,-20.00,-20.43,0.5505,636.8
250631,275,-21.00,-20.43,0.5489,639.3
251530,276,-20.00,-20.42,0.5472,641.8
252345,277,-21.00,-20.42,0.5458,644.0
253168,278,-21.00,-20.42,0.5443,646.3
253990,279,-21.00,-20.42,0.5428,648.6
255059,280,-19.00,-20.41,0.5409,651.5
255845,281,-21.00,-20.42,0.5395,653.8
256768,282,-20.00,-20.43,0.5378,656.5
257615,283,-21.00,-20.43,0.5363,659.0
258453,284,-21.00,-20.43,0.5348,661.3
259402,285,-20.00,-20.42,0.5331,664.0
260403,286,-21.00,-20.44,0.5313,666.8
261238,287,-20.00,-20.45,0.5298,669.1
262077,288,-20.00,-20.45,0.5283,671.4
263096,289,-20.00,-20.44,0.5264,674.2
263886,290,-21.00,-20.44,0.5250,676.3
264797,291,-21.00,-20.45,0.5234,679.0
265865,292,-20.00,-20.44,0.5214,681.9
266675,293,-21.00,-20.45,0.5200,684.2
267460,294,-21.00,-20.45,0.5186,686.3
268294,295,-20.00,-20.44,0.5171,688.6
269157,296,-21.00,-20.45,0.5155,691.0
270036,297,-21.00,-20.45,0.5139,693.6
