step,episode,reward,avg_reward_100,epsilon,elapsed_s
848,1,-21.00,-21.00,0.9985,0.6
1696,2,-21.00,-21.00,0.9969,0.9
2643,3,-20.00,-20.67,0.9952,1.3
3420,4,-21.00,-20.75,0.9938,1.6
4480,5,-19.00,-20.40,0.9919,2.0
5527,6,-20.00,-20.33,0.9901,2.4
6408,7,-20.00,-20.29,0.9885,2.7
7302,8,-20.00,-20.25,0.9869,3.0
8064,9,-21.00,-20.33,0.9855,3.3
8925,10,-20.00,-20.30,0.9839,3.7
9792,11,-21.00,-20.36,0.9824,4.0
10670,12,-21.00,-20.42,0.9808,7.0
11598,13,-20.00,-20.38,0.9791,10.1
12477,14,-21.00,-20.43,0.9775,13.1
13409,15,-20.00,-20.40,0.9759,16.2
14335,16,-20.00,-20.38,0.9742,19.3
15117,17,-21.00,-20.41,0.9728,22.0
16088,18,-21.00,-20.44,0.9710,25.2
17191,19,-20.00,-20.42,0.9691,28.9
18030,20,-21.00,-20.45,0.9675,31.7
19035,21,-19.00,-20.38,0.9657,35.1
19792,22,-21.00,-20.41,0.9644,37.7
20665,23,-21.00,-20.43,0.9628,40.6
21511,24,-21.00,-20.46,0.9613,43.4
22574,25,-19.00,-20.40,0.9594,47.2
23471,26,-20.00,-20.38,0.9578,50.4
24295,27,-21.00,-20.41,0.9563,53.3
25167,28,-21.00,-20.43,0.9547,56.2
26048,29,-21.00,-20.45,0.9531,59.3
27037,30,-19.00,-20.40,0.9513,62.6
27887,31,-21.00,-20.42,0.9498,65.5
28754,32,-21.00,-20.44,0.9482,68.5
29733,33,-20.00,-20.42,0.9465,71.8
30751,34,-19.00,-20.38,0.9446,75.3
31674,35,-21.00,-20.40,0.9430,78.4
32617,36,-21.00,-20.42,0.9413,81.6
33465,37,-21.00,-20.43,0.9398,84.5
34379,38,-19.00,-20.39,0.9381,87.6
35135,39,-21.00,-20.41,0.9368,90.1
36252,40,-19.00,-20.38,0.9347,93.9
37226,41,-20.00,-20.37,0.9330,97.3
38125,42,-20.00,-20.36,0.9314,100.3
38976,43,-21.00,-20.37,0.9298,103.2
40006,44,-19.00,-20.34,0.9280,106.9
41065,45,-20.00,-20.33,0.9261,110.7
41962,46,-20.00,-20.33,0.9245,113.8
