step,episode,reward,avg_reward_100,epsilon,elapsed_s
819,1,-21.00,-21.00,0.9985,0.4
1695,2,-21.00,-21.00,0.9969,0.8
2602,3,-20.00,-20.67,0.9953,1.1
3422,4,-21.00,-20.75,0.9938,1.4
4489,5,-19.00,-20.40,0.9919,1.8
5411,6,-20.00,-20.33,0.9903,2.2
6352,7,-21.00,-20.43,0.9886,2.6
7274,8,-20.00,-20.38,0.9869,2.9
8263,9,-21.00,-20.44,0.9851,3.3
9375,10,-19.00,-20.30,0.9831,3.7
10333,11,-20.00,-20.27,0.9814,6.0
11091,12,-21.00,-20.33,0.9800,9.7
11880,13,-21.00,-20.38,0.9786,13.7
12823,14,-21.00,-20.43,0.9769,18.4
13717,15,-21.00,-20.47,0.9753,23.0
14600,16,-21.00,-20.50,0.9737,27.5
15548,17,-19.00,-20.41,0.9720,32.3
16444,18,-21.00,-20.44,0.9704,36.8
17374,19,-21.00,-20.47,0.9687,41.5
18330,20,-21.00,-20.50,0.9670,46.3
19229,21,-20.00,-20.48,0.9654,50.8
20046,22,-21.00,-20.50,0.9639,54.8
20983,23,-21.00,-20.52,0.9622,59.6
21769,24,-21.00,-20.54,0.9608,63.5
22807,25,-21.00,-20.56,0.9589,68.8
23626,26,-21.00,-20.58,0.9575,73.1
24518,27,-20.00,-20.56,0.9559,77.6
25341,28,-21.00,-20.57,0.9544,81.9
26123,29,-21.00,-20.59,0.9530,85.9
26944,30,-21.00,-20.60,0.9515,90.2
27870,31,-21.00,-20.61,0.9498,94.9
28752,32,-21.00,-20.62,0.9482,99.3
29800,33,-21.00,-20.64,0.9464,104.8
30632,34,-21.00,-20.65,0.9449,109.1
31696,35,-19.00,-20.60,0.9429,114.4
32611,36,-19.00,-20.56,0.9413,119.1
33774,37,-18.00,-20.49,0.9392,125.1
34924,38,-20.00,-20.47,0.9371,131.0
35892,39,-19.00,-20.44,0.9354,136.0
36907,40,-20.00,-20.43,0.9336,141.2
37728,41,-21.00,-20.44,0.9321,145.3
38674,42,-19.00,-20.40,0.9304,150.2
39563,43,-21.00,-20.42,0.9288,154.6
40409,44,-21.00,-20.43,0.9273,158.9
41272,45,-20.00,-20.42,0.9257,163.4
42218,46,-20.00,-20.41,0.9240,168.2
43100,47,-21.00,-20.43,0.9224,172.6
43939,48,-21.00,-20.44,0.9209,176.9
44926,49,-20.00,-20.43,0.9191,181.9
45749,50,-21.00,-20.44,0.9177,186.1
46818,51,-20.00,-20.43,0.9157,191.7
47604,52,-21.00,-20.44,0.9143,195.8
48590,53,-21.00,-20.45,0.9125,200.8
49401,54,-21.00,-20.46,0.9111,205.1
50525,55,-19.00,-20.44,0.9091,210.9
51462,56,-21.00,-20.45,0.9074,215.8
52299,57,-20.00,-20.44,0.9059,220.1
53293,58,-20.00,-20.43,0.9041,225.2
54252,59,-20.00,-20.42,0.9023,230.1
55424,60,-19.00,-20.40,0.9002,236.2
56264,61,-21.00,-20.41,0.8987,240.5
57176,62,-20.00,-20.40,0.8971,245.3
58116,63,-21.00,-20.41,0.8954,250.3
59099,64,-20.00,-20.41,0.8936,255.4
60129,65,-18.00,-20.37,0.8918,260.8
60999,66,-20.00,-20.36,0.8902,265.3
61972,67,-19.00,-20.34,0.8885,270.4
62951,68,-20.00,-20.34,0.8867,275.4
63857,69,-21.00,-20.35,0.8851,280.2
64755,70,-20.00,-20.34,0.8834,284.9
65614,71,-20.00,-20.34,0.8819,289.3
66697,72,-19.00,-20.32,0.8799,294.9
67541,73,-21.00,-20.33,0.8784,299.3
68703,74,-19.00,-20.31,0.8763,305.3
69572,75,-21.00,-20.32,0.8748,309.9
70501,76,-21.00,-20.33,0.8731,314.8
71367,77,-21.00,-20.34,0.8715,319.3
72263,78,-20.00,-20.33,0.8699,324.0
73235,79,-19.00,-20.32,0.8682,329.1
74056,80,-21.00,-20.32,0.8667,333.3
74888,81,-20.00,-20.32,0.8652,337.6
75778,82,-20.00,-20.32,0.8636,342.3
76827,83,-20.00,-20.31,0.8617,347.8
77647,84,-21.00,-20.32,0.8602,352.0
78684,85,-20.00,-20.32,0.8584,357.4
79704,86,-20.00,-20.31,0.8565,362.6
80547,87,-21.00,-20.32,0.8550,366.9
81393,88,-21.00,-20.33,0.8535,371.5
82493,89,-19.00,-20.31,0.8515,377.3
83778,90,-18.00,-20.29,0.8492,384.2
84654,91,-21.00,-20.30,0.8476,388.9
85916,92,-19.00,-20.28,0.8454,395.6
87042,93,-18.00,-20.26,0.8433,401.4
88128,94,-19.00,-20.24,0.8414,407.2
89138,95,-21.00,-20.25,0.8396,412.5
90133,96,-19.00,-20.24,0.8378,417.7
91255,97,-21.00,-20.25,0.8357,423.6
92214,98,-19.00,-20.23,0.8340,428.7
93063,99,-21.00,-20.24,0.8325,433.4
94142,100,-19.00,-20.23,0.8305,439.2
94946,101,-21.00,-20.23,0.8291,443.5
95787,102,-21.00,-20.23,0.8276,448.0
96984,103,-21.00,-20.24,0.8254,454.4
98030,104,-19.00,-20.22,0.8235,460.0
98960,105,-19.00,-20.22,0.8219,465.0
100153,106,-19.00,-20.21,0.8197,471.4
101371,107,-17.00,-20.17,0.8175,477.7
102292,108,-21.00,-20.18,0.8159,482.6
103111,109,-21.00,-20.18,0.8144,487.1
104202,110,-21.00,-20.20,0.8124,493.1
105351,111,-20.00,-20.20,0.8104,499.3
106558,112,-20.00,-20.19,0.8082,505.8
107754,113,-19.00,-20.17,0.8060,512.1
108810,114,-20.00,-20.16,0.8041,517.8
109735,115,-21.00,-20.16,0.8025,522.8
110843,116,-20.00,-20.15,0.8005,528.7
111708,117,-21.00,-20.17,0.7989,533.3
112685,118,-19.00,-20.15,0.7972,538.7
113551,119,-21.00,-20.15,0.7956,543.4
114690,120,-19.00,-20.13,0.7936,549.6
115858,121,-20.00,-20.13,0.7915,555.9
117060,122,-20.00,-20.12,0.7893,562.1
117983,123,-20.00,-20.11,0.7876,567.2
119052,124,-20.00,-20.10,0.7857,572.9
120094,125,-20.00,-20.09,0.7838,578.5
121268,126,-18.00,-20.06,0.7817,584.8
122650,127,-19.00,-20.05,0.7792,592.2
123608,128,-20.00,-20.04,0.7775,597.4
124655,129,-20.00,-20.03,0.7756,603.0
125667,130,-20.00,-20.02,0.7738,608.3
126940,131,-19.00,-20.00,0.7715,615.3
128351,132,-16.00,-19.95,0.7690,622.8
129569,133,-20.00,-19.94,0.7668,629.4
130661,134,-21.00,-19.94,0.7648,635.3
131940,135,-18.00,-19.93,0.7625,642.3
132989,136,-20.00,-19.94,0.7606,647.8
134132,137,-20.00,-19.96,0.7586,653.7
134978,138,-21.00,-19.97,0.7570,658.3
136220,139,-18.00,-19.96,0.7548,665.1
137372,140,-20.00,-19.96,0.7527,671.8
138379,141,-19.00,-19.94,0.7509,677.2
139370,142,-21.00,-19.96,0.7491,682.5
140418,143,-19.00,-19.94,0.7472,688.0
141375,144,-21.00,-19.94,0.7455,693.3
142627,145,-20.00,-19.94,0.7433,700.1
143792,146,-19.00,-19.93,0.7412,706.5
145021,147,-18.00,-19.90,0.7390,713.3
146093,148,-20.00,-19.89,0.7370,719.2
147018,149,-20.00,-19.89,0.7354,724.3
148188,150,-20.00,-19.88,0.7333,731.1
149097,151,-20.00,-19.88,0.7316,736.0
150421,152,-18.00,-19.85,0.7292,743.2
151467,153,-20.00,-19.84,0.7274,748.9
152585,154,-21.00,-19.84,0.7253,755.1
153847,155,-20.00,-19.85,0.7231,762.0
155114,156,-18.00,-19.82,0.7208,768.9
156189,157,-20.00,-19.82,0.7189,774.8
157308,158,-20.00,-19.82,0.7168,781.1
158536,159,-20.00,-19.82,0.7146,788.1
159752,160,-18.00,-19.81,0.7124,794.9
161001,161,-19.00,-19.79,0.7102,801.8
162073,162,-21.00,-19.80,0.7083,807.9
163409,163,-19.00,-19.78,0.7059,815.2
164661,164,-19.00,-19.77,0.7036,822.3
166035,165,-17.00,-19.76,0.7011,829.8
167478,166,-17.00,-19.73,0.6985,837.8
168734,167,-20.00,-19.74,0.6963,845.1
169994,168,-20.00,-19.74,0.6940,852.3
171050,169,-21.00,-19.74,0.6921,858.2
172134,170,-21.00,-19.75,0.6902,864.3
173233,171,-18.00,-19.73,0.6882,870.5
174483,172,-18.00,-19.72,0.6859,877.5
175718,173,-17.00,-19.68,0.6837,884.5
176715,174,-21.00,-19.70,0.6819,890.0
178092,175,-17.00,-19.66,0.6794,897.7
179183,176,-20.00,-19.65,0.6775,903.7
180124,177,-20.00,-19.64,0.6758,908.6
181030,178,-21.00,-19.65,0.6741,913.8
182505,179,-18.00,-19.64,0.6715,921.7
183654,180,-20.00,-19.63,0.6694,928.1
184681,181,-21.00,-19.64,0.6676,933.9
185638,182,-21.00,-19.65,0.6659,939.1
187200,183,-16.00,-19.61,0.6630,947.3
188363,184,-20.00,-19.60,0.6609,953.9
189615,185,-18.00,-19.58,0.6587,960.7
190798,186,-18.00,-19.56,0.6566,967.1
191842,187,-19.00,-19.54,0.6547,973.1
193148,188,-20.00,-19.53,0.6523,980.3
194317,189,-19.00,-19.53,0.6502,986.8
195471,190,-20.00,-19.55,0.6482,993.2
196766,191,-18.00,-19.52,0.6458,1000.4
198041,192,-20.00,-19.53,0.6435,1007.6
199289,193,-18.00,-19.53,0.6413,1014.4
200409,194,-21.00,-19.55,0.6393,1020.8
201354,195,-20.00,-19.54,0.6376,1026.1
202479,196,-20.00,-19.55,0.6355,1032.3
203688,197,-20.00,-19.54,0.6334,1039.1
205253,198,-14.00,-19.49,0.6305,1048.1
206399,199,-20.00,-19.48,0.6285,1054.6
207588,200,-19.00,-19.48,0.6263,1061.3
208931,201,-17.00,-19.44,0.6239,1068.9
210274,202,-18.00,-19.41,0.6215,1076.1
211411,203,-18.00,-19.38,0.6195,1082.6
212595,204,-21.00,-19.40,0.6173,1088.9
214102,205,-16.00,-19.37,0.6146,1097.5
215185,206,-19.00,-19.37,0.6127,1103.5
216120,207,-21.00,-19.41,0.6110,1108.9
217411,208,-19.00,-19.39,0.6087,1116.2
218510,209,-20.00,-19.38,0.6067,1122.4
219594,210,-18.00,-19.35,0.6047,1128.5
221057,211,-16.00,-19.31,0.6021,1136.8
222168,212,-20.00,-19.31,0.6001,1143.2
223609,213,-17.00,-19.29,0.5975,1151.4
224921,214,-18.00,-19.27,0.5951,1159.0
226604,215,-15.00,-19.21,0.5921,1168.5
227883,216,-20.00,-19.21,0.5898,1175.9
229157,217,-17.00,-19.17,0.5875,1183.1
230560,218,-18.00,-19.16,0.5850,1190.8
232169,219,-15.00,-19.10,0.5821,1200.0
234159,220,-13.00,-19.04,0.5785,1211.1
235476,221,-19.00,-19.03,0.5761,1218.7
236659,222,-20.00,-19.03,0.5740,1225.5
238045,223,-20.00,-19.03,0.5715,1233.3
239200,224,-19.00,-19.02,0.5694,1239.8
240539,225,-19.00,-19.01,0.5670,1247.5
242210,226,-16.00,-18.99,0.5640,1257.1
243782,227,-15.00,-18.95,0.5612,1266.1
245445,228,-17.00,-18.92,0.5582,1275.7
246603,229,-19.00,-18.91,0.5561,1282.2
248042,230,-18.00,-18.89,0.5535,1290.4
249681,231,-15.00,-18.85,0.5506,1299.8
250906,232,-19.00,-18.88,0.5484,1306.8
252241,233,-18.00,-18.86,0.5460,1314.5
253718,234,-18.00,-18.83,0.5433,1323.1
255013,235,-19.00,-18.84,0.5410,1330.7
256746,236,-15.00,-18.79,0.5379,1340.9
258590,237,-14.00,-18.73,0.5345,1351.5
260011,238,-17.00,-18.69,0.5320,1359.6
261749,239,-17.00,-18.68,0.5289,1369.2
263449,240,-17.00,-18.65,0.5258,1378.8
265205,241,-17.00,-18.63,0.5226,1388.5
267004,242,-15.00,-18.57,0.5194,1399.2
269131,243,-11.00,-18.49,0.5156,1411.7
270383,244,-21.00,-18.49,0.5133,1418.9
271785,245,-18.00,-18.47,0.5108,1427.0
272794,246,-21.00,-18.49,0.5090,1432.8
274244,247,-16.00,-18.47,0.5064,1441.3
275539,248,-18.00,-18.45,0.5040,1448.3
277136,249,-16.00,-18.41,0.5012,1457.8
278987,250,-17.00,-18.38,0.4978,1468.6
280436,251,-20.00,-18.38,0.4952,1477.1
281773,252,-20.00,-18.40,0.4928,1484.5
283348,253,-15.00,-18.35,0.4900,1493.8
284942,254,-16.00,-18.30,0.4871,1502.9
286522,255,-19.00,-18.29,0.4843,1512.2
287707,256,-19.00,-18.30,0.4821,1519.2
288996,257,-18.00,-18.28,0.4798,1526.7
290483,258,-19.00,-18.27,0.4771,1535.7
292119,259,-17.00,-18.24,0.4742,1545.4
293518,260,-18.00,-18.24,0.4717,1553.3
294994,261,-17.00,-18.22,0.4690,1561.3
296318,262,-19.00,-18.20,0.4666,1568.8
297587,263,-19.00,-18.20,0.4643,1575.9
298971,264,-19.00,-18.20,0.4619,1584.1
300601,265,-15.00,-18.18,0.4589,1593.8
302277,266,-14.00,-18.15,0.4559,1603.7
303798,267,-18.00,-18.13,0.4532,1612.3
305540,268,-18.00,-18.11,0.4500,1621.6
307622,269,-11.00,-18.01,0.4463,1633.7
309505,270,-16.00,-17.96,0.4429,1644.2
311203,271,-18.00,-17.96,0.4398,1654.1
312629,272,-20.00,-17.98,0.4373,1662.2
313923,273,-19.00,-18.00,0.4349,1669.6
