step,episode,reward,avg_reward_100,epsilon,elapsed_s
936,1,-21.00,-21.00,0.9983,0.9
1874,2,-21.00,-21.00,0.9966,1.3
2701,3,-21.00,-21.00,0.9951,1.6
3657,4,-20.00,-20.75,0.9934,2.0
4612,5,-20.00,-20.60,0.9917,2.4
5565,6,-20.00,-20.50,0.9900,2.7
6461,7,-20.00,-20.43,0.9884,3.1
7384,8,-20.00,-20.38,0.9867,3.5
8406,9,-20.00,-20.33,0.9849,3.9
9391,10,-20.00,-20.30,0.9831,4.3
10409,11,-19.00,-20.18,0.9813,8.4
11351,12,-20.00,-20.17,0.9796,12.9
12328,13,-20.00,-20.15,0.9778,17.5
13725,14,-16.00,-19.86,0.9753,24.4
14792,15,-19.00,-19.80,0.9734,29.6
15779,16,-21.00,-19.88,0.9716,34.5
16620,17,-20.00,-19.88,0.9701,38.6
17457,18,-20.00,-19.89,0.9686,42.9
18297,19,-20.00,-19.89,0.9671,47.2
19338,20,-19.00,-19.85,0.9652,52.6
20751,21,-19.00,-19.81,0.9626,59.7
21933,22,-20.00,-19.82,0.9605,65.7
22888,23,-21.00,-19.87,0.9588,70.5
23646,24,-21.00,-19.92,0.9574,74.4
24508,25,-21.00,-19.96,0.9559,78.7
25480,26,-21.00,-20.00,0.9541,83.6
26416,27,-20.00,-20.00,0.9525,88.2
27226,28,-21.00,-20.04,0.9510,92.3
28008,29,-21.00,-20.07,0.9496,96.3
28982,30,-20.00,-20.07,0.9478,101.2
29860,31,-21.00,-20.10,0.9463,105.7
30814,32,-20.00,-20.09,0.9445,110.5
31872,33,-19.00,-20.06,0.9426,115.8
32801,34,-19.00,-20.03,0.9410,120.6
33897,35,-21.00,-20.06,0.9390,126.2
34657,36,-21.00,-20.08,0.9376,130.1
35718,37,-19.00,-20.05,0.9357,135.7
36599,38,-21.00,-20.08,0.9341,140.3
37433,39,-20.00,-20.08,0.9326,144.6
38363,40,-21.00,-20.10,0.9309,149.4
39335,41,-20.00,-20.10,0.9292,154.3
40400,42,-18.00,-20.05,0.9273,159.6
41249,43,-21.00,-20.07,0.9258,164.0
42006,44,-21.00,-20.09,0.9244,168.0
42781,45,-21.00,-20.11,0.9230,172.0
43629,46,-21.00,-20.13,0.9215,176.3
44516,47,-20.00,-20.13,0.9199,180.9
45410,48,-20.00,-20.12,0.9183,185.4
46377,49,-21.00,-20.14,0.9165,190.2
47380,50,-19.00,-20.12,0.9147,195.4
48356,51,-20.00,-20.12,0.9130,200.3
49191,52,-21.00,-20.13,0.9115,204.5
50199,53,-20.00,-20.13,0.9096,209.8
50962,54,-21.00,-20.15,0.9083,213.8
51844,55,-21.00,-20.16,0.9067,218.4
52683,56,-20.00,-20.16,0.9052,222.8
53549,57,-21.00,-20.18,0.9036,227.4
54585,58,-19.00,-20.16,0.9017,232.8
55505,59,-19.00,-20.14,0.9001,237.4
56539,60,-19.00,-20.12,0.8982,242.8
57358,61,-21.00,-20.13,0.8968,247.1
58206,62,-21.00,-20.15,0.8952,251.7
58992,63,-21.00,-20.16,0.8938,255.8
59834,64,-21.00,-20.17,0.8923,260.2
60744,65,-21.00,-20.18,0.8907,264.6
61634,66,-21.00,-20.20,0.8891,269.3
62455,67,-21.00,-20.21,0.8876,273.7
63502,68,-21.00,-20.22,0.8857,279.4
64363,69,-21.00,-20.23,0.8841,284.0
65185,70,-21.00,-20.24,0.8827,288.1
66015,71,-20.00,-20.24,0.8812,292.4
66860,72,-21.00,-20.25,0.8797,296.8
67848,73,-20.00,-20.25,0.8779,301.9
68664,74,-21.00,-20.26,0.8764,306.0
69560,75,-20.00,-20.25,0.8748,310.9
70348,76,-21.00,-20.26,0.8734,315.1
71338,77,-21.00,-20.27,0.8716,320.2
72218,78,-21.00,-20.28,0.8700,324.8
73127,79,-21.00,-20.29,0.8684,329.8
73967,80,-21.00,-20.30,0.8669,334.2
74755,81,-21.00,-20.31,0.8654,338.3
75587,82,-21.00,-20.32,0.8639,342.7
76650,83,-20.00,-20.31,0.8620,348.3
77529,84,-21.00,-20.32,0.8604,353.1
78553,85,-20.00,-20.32,0.8586,358.4
79375,86,-21.00,-20.33,0.8571,362.9
80193,87,-21.00,-20.33,0.8557,367.4
81138,88,-20.00,-20.33,0.8540,372.5
81975,89,-21.00,-20.34,0.8524,377.1
82764,90,-21.00,-20.34,0.8510,381.5
83762,91,-19.00,-20.33,0.8492,386.7
84630,92,-21.00,-20.34,0.8477,391.3
85553,93,-20.00,-20.33,0.8460,396.3
86449,94,-20.00,-20.33,0.8444,401.1
87255,95,-21.00,-20.34,0.8429,405.5
88112,96,-20.00,-20.33,0.8414,410.2
89080,97,-21.00,-20.34,0.8397,415.4
89838,98,-21.00,-20.35,0.8383,419.3
90659,99,-21.00,-20.35,0.8368,423.6
91567,100,-20.00,-20.35,0.8352,428.6
92497,101,-21.00,-20.35,0.8335,433.6
93467,102,-20.00,-20.34,0.8318,438.7
94317,103,-21.00,-20.34,0.8302,443.2
95157,104,-20.00,-20.34,0.8287,447.5
96213,105,-19.00,-20.33,0.8268,453.1
97303,106,-20.00,-20.33,0.8249,458.8
98180,107,-21.00,-20.34,0.8233,463.4
99231,108,-19.00,-20.33,0.8214,468.8
100113,109,-20.00,-20.33,0.8198,473.6
101022,110,-21.00,-20.34,0.8182,478.6
102020,111,-20.00,-20.35,0.8164,484.0
102929,112,-21.00,-20.36,0.8147,488.9
103905,113,-20.00,-20.36,0.8130,493.8
104888,114,-21.00,-20.41,0.8112,499.3
105736,115,-21.00,-20.43,0.8097,503.9
106637,116,-20.00,-20.42,0.8081,508.8
107514,117,-21.00,-20.43,0.8065,513.6
108365,118,-21.00,-20.44,0.8049,518.1
109273,119,-20.00,-20.44,0.8033,522.9
110311,120,-19.00,-20.44,0.8014,528.6
111213,121,-21.00,-20.46,0.7998,533.4
112297,122,-20.00,-20.46,0.7979,539.3
113423,123,-17.00,-20.42,0.7958,545.5
114301,124,-21.00,-20.42,0.7943,550.4
115217,125,-20.00,-20.41,0.7926,555.5
116101,126,-20.00,-20.40,0.7910,560.3
116948,127,-21.00,-20.41,0.7895,564.6
117909,128,-20.00,-20.40,0.7878,569.8
119073,129,-20.00,-20.39,0.7857,576.4
119864,130,-21.00,-20.40,0.7842,580.9
120745,131,-21.00,-20.40,0.7827,585.6
121584,132,-21.00,-20.41,0.7811,590.2
122375,133,-21.00,-20.43,0.7797,594.5
123333,134,-20.00,-20.44,0.7780,599.8
124267,135,-19.00,-20.42,0.7763,604.7
125105,136,-20.00,-20.41,0.7748,609.2
125892,137,-21.00,-20.43,0.7734,613.4
126871,138,-20.00,-20.42,0.7716,618.4
127768,139,-20.00,-20.42,0.7700,623.0
128589,140,-21.00,-20.42,0.7685,627.4
129556,141,-19.00,-20.41,0.7668,632.4
130332,142,-21.00,-20.44,0.7654,636.6
131212,143,-20.00,-20.43,0.7638,641.4
131973,144,-21.00,-20.43,0.7624,645.6
132888,145,-20.00,-20.42,0.7608,650.6
133797,146,-21.00,-20.42,0.7592,655.3
134619,147,-21.00,-20.43,0.7577,659.9
135617,148,-19.00,-20.42,0.7559,665.4
136453,149,-20.00,-20.41,0.7544,669.7
137290,150,-21.00,-20.43,0.7529,673.8
138400,151,-18.00,-20.41,0.7509,679.8
139332,152,-21.00,-20.41,0.7492,685.0
140170,153,-20.00,-20.41,0.7477,689.7
141038,154,-20.00,-20.40,0.7461,694.5
141860,155,-21.00,-20.40,0.7447,699.0
142815,156,-20.00,-20.40,0.7429,704.2
143683,157,-20.00,-20.39,0.7414,709.1
144879,158,-17.00,-20.37,0.7392,715.5
145714,159,-20.00,-20.38,0.7377,720.0
146595,160,-21.00,-20.40,0.7361,724.8
147433,161,-20.00,-20.39,0.7346,729.3
148328,162,-20.00,-20.38,0.7330,734.3
149300,163,-21.00,-20.38,0.7313,739.3
150060,164,-21.00,-20.38,0.7299,743.4
150966,165,-21.00,-20.38,0.7283,747.5
151973,166,-20.00,-20.37,0.7264,752.3
152911,167,-19.00,-20.35,0.7248,757.3
153826,168,-20.00,-20.34,0.7231,761.9
155097,169,-16.00,-20.29,0.7208,768.9
156255,170,-19.00,-20.27,0.7187,775.2
157119,171,-21.00,-20.28,0.7172,779.9
158048,172,-19.00,-20.26,0.7155,784.8
158865,173,-21.00,-20.27,0.7140,789.2
159715,174,-20.00,-20.26,0.7125,793.8
160874,175,-18.00,-20.24,0.7104,800.0
161739,176,-21.00,-20.24,0.7089,804.7
162621,177,-21.00,-20.24,0.7073,809.5
163628,178,-19.00,-20.22,0.7055,815.1
164606,179,-19.00,-20.20,0.7037,820.0
165587,180,-20.00,-20.19,0.7019,824.6
166411,181,-21.00,-20.19,0.7005,828.9
167355,182,-19.00,-20.17,0.6988,832.9
168134,183,-21.00,-20.18,0.6974,837.2
169103,184,-20.00,-20.17,0.6956,842.4
170012,185,-21.00,-20.18,0.6940,847.3
170836,186,-21.00,-20.18,0.6925,851.6
171654,187,-21.00,-20.18,0.6910,855.5
172551,188,-20.00,-20.18,0.6894,859.8
173402,189,-21.00,-20.18,0.6879,864.2
174280,190,-21.00,-20.18,0.6863,868.6
175069,191,-21.00,-20.20,0.6849,872.8
176071,192,-19.00,-20.18,0.6831,877.5
176980,193,-21.00,-20.19,0.6814,882.5
177771,194,-21.00,-20.20,0.6800,887.1
178577,195,-21.00,-20.20,0.6786,891.6
179470,196,-20.00,-20.20,0.6770,896.7
180481,197,-20.00,-20.19,0.6751,902.6
181238,198,-21.00,-20.19,0.6738,906.8
182076,199,-20.00,-20.18,0.6723,911.6
183057,200,-19.00,-20.17,0.6705,916.7
184069,201,-19.00,-20.15,0.6687,922.4
184830,202,-21.00,-20.16,0.6673,926.4
185588,203,-21.00,-20.16,0.6659,930.8
186364,204,-21.00,-20.17,0.6645,935.1
187332,205,-19.00,-20.17,0.6628,940.5
188181,206,-21.00,-20.18,0.6613,945.0
189043,207,-20.00,-20.17,0.6597,948.8
189955,208,-21.00,-20.19,0.6581,953.4
190740,209,-21.00,-20.20,0.6567,957.6
191711,210,-21.00,-20.20,0.6549,962.8
192633,211,-20.00,-20.20,0.6533,967.7
193560,212,-20.00,-20.19,0.6516,973.0
194494,213,-20.00,-20.19,0.6499,978.2
195438,214,-21.00,-20.19,0.6482,982.9
196408,215,-21.00,-20.19,0.6465,988.1
197379,216,-19.00,-20.18,0.6447,993.2
198231,217,-21.00,-20.18,0.6432,997.8
199081,218,-21.00,-20.18,0.6417,1002.3
199980,219,-20.00,-20.18,0.6400,1007.0
201145,220,-18.00,-20.17,0.6379,1013.2
201962,221,-21.00,-20.17,0.6365,1017.3
202797,222,-20.00,-20.17,0.6350,1021.7
203705,223,-21.00,-20.21,0.6333,1026.5
204602,224,-20.00,-20.20,0.6317,1031.4
205509,225,-21.00,-20.21,0.6301,1036.5
206350,226,-21.00,-20.22,0.6286,1041.0
207230,227,-21.00,-20.22,0.6270,1046.0
208070,228,-20.00,-20.22,0.6255,1050.7
209045,229,-19.00,-20.21,0.6237,1056.1
210018,230,-20.00,-20.20,0.6220,1061.6
210848,231,-20.00,-20.19,0.6205,1065.9
211782,232,-20.00,-20.18,0.6188,1071.2
212661,233,-21.00,-20.18,0.6172,1076.3
213574,234,-20.00,-20.18,0.6156,1081.4
214517,235,-20.00,-20.19,0.6139,1086.8
215278,236,-21.00,-20.20,0.6125,1091.1
216249,237,-19.00,-20.18,0.6108,1096.7
217068,238,-21.00,-20.19,0.6093,1101.4
218004,239,-21.00,-20.20,0.6076,1106.5
218945,240,-21.00,-20.20,0.6059,1111.7
219726,241,-21.00,-20.22,0.6045,1116.1
220560,242,-20.00,-20.21,0.6030,1120.8
221413,243,-20.00,-20.21,0.6015,1125.5
222296,244,-21.00,-20.21,0.5999,1130.2
223237,245,-20.00,-20.21,0.5982,1135.0
224055,246,-21.00,-20.21,0.5967,1139.5
224924,247,-20.00,-20.20,0.5951,1144.4
225680,248,-21.00,-20.22,0.5938,1148.9
226469,249,-21.00,-20.23,0.5924,1153.4
227517,250,-21.00,-20.23,0.5905,1159.3
228367,251,-21.00,-20.26,0.5889,1163.9
229147,252,-21.00,-20.26,0.5875,1168.5
230054,253,-21.00,-20.27,0.5859,1173.5
231126,254,-19.00,-20.26,0.5840,1179.3
231985,255,-21.00,-20.26,0.5824,1183.8
232905,256,-20.00,-20.26,0.5808,1188.9
233683,257,-21.00,-20.27,0.5794,1193.0
234521,258,-21.00,-20.31,0.5779,1197.7
235441,259,-20.00,-20.31,0.5762,1202.6
236324,260,-21.00,-20.31,0.5746,1207.2
237086,261,-21.00,-20.32,0.5732,1211.2
237868,262,-21.00,-20.33,0.5718,1214.9
238869,263,-21.00,-20.33,0.5700,1220.1
239704,264,-21.00,-20.33,0.5685,1224.2
240525,265,-21.00,-20.33,0.5671,1228.6
241399,266,-21.00,-20.34,0.5655,1232.9
242336,267,-19.00,-20.34,0.5638,1238.2
243093,268,-21.00,-20.35,0.5624,1242.0
243881,269,-21.00,-20.40,0.5610,1245.8
244883,270,-20.00,-20.41,0.5592,1250.9
245762,271,-21.00,-20.41,0.5576,1255.8
246704,272,-21.00,-20.43,0.5559,1261.0
247464,273,-21.00,-20.43,0.5546,1265.4
248297,274,-20.00,-20.43,0.5531,1270.2
249115,275,-21.00,-20.46,0.5516,1273.6
249876,276,-21.00,-20.46,0.5502,1277.3
250730,277,-20.00,-20.45,0.5487,1281.2
251571,278,-20.00,-20.46,0.5472,1285.6
252545,279,-19.00,-20.46,0.5454,1291.2
253303,280,-21.00,-20.47,0.5441,1295.6
254167,281,-20.00,-20.46,0.5425,1300.6
254984,282,-21.00,-20.48,0.5410,1305.5
256073,283,-21.00,-20.48,0.5391,1311.9
256966,284,-20.00,-20.48,0.5375,1316.9
257753,285,-21.00,-20.48,0.5360,1321.4
258763,286,-19.00,-20.46,0.5342,1327.5
259519,287,-21.00,-20.46,0.5329,1331.8
260439,288,-20.00,-20.46,0.5312,1337.0
261334,289,-20.00,-20.45,0.5296,1342.0
262185,290,-21.00,-20.45,0.5281,1347.0
262965,291,-21.00,-20.45,0.5267,1351.3
263728,292,-21.00,-20.47,0.5253,1355.7
264613,293,-21.00,-20.47,0.5237,1360.9
265370,294,-21.00,-20.47,0.5223,1365.4
266145,295,-21.00,-20.47,0.5209,1369.7
266979,296,-20.00,-20.47,0.5194,1374.7
267768,297,-21.00,-20.48,0.5180,1378.9
268618,298,-21.00,-20.48,0.5165,1383.8
269530,299,-21.00,-20.49,0.5148,1389.0
270318,300,-21.00,-20.51,0.5134,1393.7
271154,301,-20.00,-20.52,0.5119,1398.6
272047,302,-20.00,-20.51,0.5103,1403.3
272807,303,-21.00,-20.51,0.5089,1407.8
273626,304,-21.00,-20.51,0.5075,1412.3
274511,305,-20.00,-20.52,0.5059,1417.3
275360,306,-21.00,-20.52,0.5044,1422.2
276201,307,-21.00,-20.53,0.5028,1427.1
277032,308,-20.00,-20.52,0.5013,1431.8
277842,309,-21.00,-20.52,0.4999,1436.4
278631,310,-21.00,-20.52,0.4985,1441.2
279449,311,-21.00,-20.53,0.4970,1446.3
280293,312,-21.00,-20.54,0.4955,1451.2
281082,313,-21.00,-20.55,0.4941,1455.8
281874,314,-21.00,-20.55,0.4926,1460.7
282660,315,-21.00,-20.55,0.4912,1465.0
283632,316,-19.00,-20.55,0.4895,1470.6
284511,317,-21.00,-20.55,0.4879,1475.7
285270,318,-21.00,-20.55,0.4865,1480.2
286087,319,-21.00,-20.56,0.4850,1484.7
287122,320,-19.00,-20.57,0.4832,1490.6
287969,321,-20.00,-20.56,0.4817,1495.5
288861,322,-20.00,-20.56,0.4801,1500.7
289711,323,-20.00,-20.55,0.4785,1505.6
290529,324,-21.00,-20.56,0.4770,1510.3
291347,325,-21.00,-20.56,0.4756,1514.9
292165,326,-21.00,-20.56,0.4741,1519.7
293163,327,-20.00,-20.55,0.4723,1525.4
293980,328,-21.00,-20.56,0.4708,1530.1
294830,329,-21.00,-20.58,0.4693,1535.0
295808,330,-20.00,-20.58,0.4675,1540.5
296584,331,-21.00,-20.59,0.4661,1544.9
297448,332,-20.00,-20.59,0.4646,1550.3
298356,333,-19.00,-20.57,0.4630,1555.9
299208,334,-21.00,-20.58,0.4614,1561.0
300028,335,-21.00,-20.59,0.4599,1565.9
300851,336,-21.00,-20.59,0.4585,1570.3
301864,337,-20.00,-20.60,0.4566,1576.4
302704,338,-20.00,-20.59,0.4551,1581.3
303636,339,-19.00,-20.57,0.4535,1586.6
304685,340,-20.00,-20.56,0.4516,1592.8
305609,341,-20.00,-20.55,0.4499,1597.5
306459,342,-21.00,-20.56,0.4484,1601.8
307276,343,-21.00,-20.57,0.4469,1606.6
308116,344,-20.00,-20.56,0.4454,1611.8
308877,345,-21.00,-20.57,0.4440,1616.4
309754,346,-21.00,-20.57,0.4424,1621.5
310574,347,-21.00,-20.58,0.4410,1626.4
311440,348,-21.00,-20.58,0.4394,1631.0
312222,349,-21.00,-20.58,0.4380,1635.8
313192,350,-21.00,-20.58,0.4363,1641.6
314013,351,-21.00,-20.58,0.4348,1646.4
314967,352,-20.00,-20.57,0.4331,1652.0
315853,353,-20.00,-20.56,0.4315,1657.2
316616,354,-21.00,-20.58,0.4301,1661.9
317451,355,-20.00,-20.57,0.4286,1666.9
318331,356,-21.00,-20.58,0.4270,1672.0
319180,357,-20.00,-20.57,0.4255,1677.2
319942,358,-21.00,-20.57,0.4241,1681.6
320758,359,-21.00,-20.58,0.4226,1686.7
321599,360,-21.00,-20.58,0.4211,1691.9
322648,361,-20.00,-20.57,0.4192,1698.0
323489,362,-20.00,-20.56,0.4177,1702.8
324269,363,-21.00,-20.56,0.4163,1707.6
325136,364,-21.00,-20.56,0.4148,1712.6
326190,365,-21.00,-20.56,0.4129,1718.9
327040,366,-21.00,-20.56,0.4113,1723.8
327969,367,-20.00,-20.57,0.4097,1729.3
328989,368,-20.00,-20.56,0.4078,1735.5
329949,369,-20.00,-20.55,0.4061,1741.3
330825,370,-21.00,-20.56,0.4045,1746.5
331665,371,-20.00,-20.55,0.4030,1751.5
332619,372,-20.00,-20.54,0.4013,1757.0
333397,373,-21.00,-20.54,0.3999,1761.4
334373,374,-20.00,-20.54,0.3981,1767.1
335306,375,-19.00,-20.52,0.3964,1772.8
336210,376,-21.00,-20.52,0.3948,1778.1
337164,377,-20.00,-20.52,0.3931,1783.7
338146,378,-20.00,-20.52,0.3913,1789.7
338995,379,-21.00,-20.54,0.3898,1794.6
339839,380,-21.00,-20.54,0.3883,1799.6
340661,381,-21.00,-20.55,0.3868,1804.1
341500,382,-20.00,-20.54,0.3853,1809.2
342321,383,-21.00,-20.54,0.3838,1814.2
343263,384,-20.00,-20.54,0.3821,1819.7
344219,385,-20.00,-20.53,0.3804,1825.5
345060,386,-20.00,-20.54,0.3789,1830.6
345877,387,-21.00,-20.54,0.3774,1835.3
346729,388,-21.00,-20.55,0.3759,1840.6
347548,389,-21.00,-20.56,0.3744,1845.5
348355,390,-21.00,-20.56,0.3730,1850.4
349356,391,-19.00,-20.54,0.3712,1856.3
350135,392,-21.00,-20.54,0.3698,1860.9
350973,393,-20.00,-20.53,0.3682,1865.9
351732,394,-21.00,-20.53,0.3669,1870.2
352598,395,-20.00,-20.52,0.3653,1875.4
353561,396,-19.00,-20.51,0.3636,1881.4
354378,397,-21.00,-20.51,0.3621,1886.3
355308,398,-19.00,-20.49,0.3604,1891.8
356126,399,-21.00,-20.49,0.3590,1896.3
356947,400,-21.00,-20.49,0.3575,1901.5
357812,401,-21.00,-20.50,0.3559,1906.8
358647,402,-20.00,-20.50,0.3544,1911.7
359485,403,-20.00,-20.49,0.3529,1916.7
360334,404,-21.00,-20.49,0.3514,1922.0
361275,405,-21.00,-20.50,0.3497,1927.7
362052,406,-21.00,-20.50,0.3483,1932.6
362829,407,-21.00,-20.50,0.3469,1937.4
363692,408,-20.00,-20.50,0.3454,1941.8
364624,409,-19.00,-20.48,0.3437,1947.5
365386,410,-21.00,-20.48,0.3423,1952.1
366208,411,-21.00,-20.48,0.3408,1957.0
367046,412,-20.00,-20.47,0.3393,1962.4
367910,413,-20.00,-20.46,0.3378,1967.8
368821,414,-19.00,-20.44,0.3361,1973.4
369646,415,-21.00,-20.44,0.3346,1978.5
370513,416,-21.00,-20.46,0.3331,1983.6
371363,417,-21.00,-20.46,0.3315,1988.8
372230,418,-21.00,-20.46,0.3300,1994.0
373104,419,-20.00,-20.45,0.3284,1999.0
373865,420,-21.00,-20.47,0.3270,2003.7
374622,421,-21.00,-20.48,0.3257,2008.5
375660,422,-19.00,-20.47,0.3238,2015.0
376449,423,-21.00,-20.48,0.3224,2019.8
377270,424,-21.00,-20.48,0.3209,2024.8
378091,425,-21.00,-20.48,0.3194,2029.4
378960,426,-20.00,-20.47,0.3179,2034.7
379782,427,-21.00,-20.48,0.3164,2039.7
380602,428,-21.00,-20.48,0.3149,2044.8
381359,429,-21.00,-20.48,0.3136,2049.4
382120,430,-21.00,-20.49,0.3122,2054.0
383100,431,-20.00,-20.48,0.3104,2059.9
383979,432,-21.00,-20.49,0.3088,2065.5
384742,433,-21.00,-20.51,0.3075,2070.2
385523,434,-21.00,-20.51,0.3061,2075.0
386420,435,-20.00,-20.50,0.3044,2080.7
387241,436,-21.00,-20.50,0.3030,2085.7
388184,437,-21.00,-20.51,0.3013,2091.4
389008,438,-21.00,-20.52,0.2998,2096.7
389880,439,-20.00,-20.53,0.2982,2102.2
390720,440,-21.00,-20.54,0.2967,2107.4
391566,441,-21.00,-20.55,0.2952,2112.2
392404,442,-20.00,-20.54,0.2937,2117.5
393343,443,-21.00,-20.54,0.2920,2123.0
394243,444,-20.00,-20.54,0.2904,2128.7
395090,445,-21.00,-20.54,0.2888,2133.7
395922,446,-20.00,-20.53,0.2873,2138.3
396759,447,-20.00,-20.52,0.2858,2143.3
397581,448,-21.00,-20.52,0.2844,2148.0
398412,449,-20.00,-20.51,0.2829,2153.0
399201,450,-21.00,-20.51,0.2814,2157.8
400131,451,-21.00,-20.51,0.2798,2163.3
400981,452,-21.00,-20.52,0.2782,2168.4
401818,453,-20.00,-20.52,0.2767,2173.5
402635,454,-21.00,-20.52,0.2753,2178.5
403449,455,-21.00,-20.53,0.2738,2183.7
404268,456,-21.00,-20.53,0.2723,2188.9
405031,457,-21.00,-20.54,0.2709,2193.5
405847,458,-21.00,-20.54,0.2695,2198.6
406691,459,-21.00,-20.54,0.2680,2203.6
407568,460,-21.00,-20.54,0.2664,2209.1
408480,461,-21.00,-20.55,0.2647,2214.7
409321,462,-20.00,-20.55,0.2632,2220.1
410141,463,-21.00,-20.55,0.2617,2225.4
411035,464,-20.00,-20.54,0.2601,2230.8
411792,465,-21.00,-20.54,0.2588,2235.6
412555,466,-21.00,-20.54,0.2574,2240.4
413479,467,-20.00,-20.54,0.2557,2246.0
414385,468,-21.00,-20.55,0.2541,2251.6
415233,469,-21.00,-20.56,0.2526,2256.8
416132,470,-20.00,-20.55,0.2510,2262.4
416892,471,-21.00,-20.56,0.2496,2267.1
417679,472,-21.00,-20.57,0.2482,2272.0
418606,473,-20.00,-20.56,0.2465,2277.5
419367,474,-21.00,-20.57,0.2451,2282.3
420278,475,-21.00,-20.59,0.2435,2287.7
421235,476,-20.00,-20.58,0.2418,2293.8
422093,477,-20.00,-20.58,0.2402,2299.4
422855,478,-21.00,-20.59,0.2389,2304.1
423777,479,-20.00,-20.58,0.2372,2309.7
424788,480,-20.00,-20.57,0.2354,2316.1
425610,481,-21.00,-20.57,0.2339,2321.3
426488,482,-21.00,-20.58,0.2323,2326.9
427350,483,-20.00,-20.57,0.2308,2332.2
428230,484,-21.00,-20.58,0.2292,2337.5
429190,485,-20.00,-20.58,0.2275,2343.7
430008,486,-21.00,-20.59,0.2260,2349.1
430795,487,-21.00,-20.59,0.2246,2354.2
431616,488,-21.00,-20.59,0.2231,2359.6
432375,489,-21.00,-20.59,0.2217,2364.5
433207,490,-20.00,-20.58,0.2202,2369.8
434210,491,-21.00,-20.60,0.2184,2376.2
435047,492,-20.00,-20.59,0.2169,2381.2
435808,493,-21.00,-20.60,0.2155,2386.0
436564,494,-21.00,-20.60,0.2142,2390.9
437387,495,-21.00,-20.61,0.2127,2396.1
438174,496,-21.00,-20.63,0.2113,2401.1
439071,497,-20.00,-20.62,0.2097,2406.6
439951,498,-21.00,-20.64,0.2081,2412.0
440714,499,-21.00,-20.64,0.2067,2416.4
441532,500,-21.00,-20.64,0.2052,2420.6
442367,501,-20.00,-20.63,0.2037,2425.6
443203,502,-20.00,-20.63,0.2022,2430.5
443964,503,-21.00,-20.64,0.2009,2435.1
444826,504,-20.00,-20.63,0.1993,2440.5
445643,505,-21.00,-20.63,0.1978,2445.6
446462,506,-21.00,-20.63,0.1964,2450.6
447406,507,-21.00,-20.63,0.1947,2456.2
448162,508,-21.00,-20.64,0.1933,2460.7
448918,509,-21.00,-20.66,0.1919,2465.3
449739,510,-21.00,-20.66,0.1905,2469.4
450499,511,-21.00,-20.66,0.1891,2473.1
451438,512,-21.00,-20.67,0.1874,2478.7
452317,513,-21.00,-20.68,0.1858,2484.2
453195,514,-21.00,-20.70,0.1842,2489.5
453981,515,-21.00,-20.70,0.1828,2494.4
454924,516,-21.00,-20.70,0.1811,2500.4
455684,517,-21.00,-20.70,0.1798,2505.3
456522,518,-20.00,-20.69,0.1783,2510.3
457552,519,-18.00,-20.67,0.1764,2516.7
458401,520,-21.00,-20.67,0.1749,2522.0
459222,521,-21.00,-20.67,0.1734,2527.1
460149,522,-20.00,-20.68,0.1717,2532.8
460972,523,-21.00,-20.68,0.1703,2537.9
461906,524,-21.00,-20.68,0.1686,2543.5
